,name,Eyes,Plumage,Beak,Hat,Clothes,Accessories,trait_n,Eyes_rarity,Plumage_rarity,Beak_rarity,Hat_rarity,Clothes_rarity,Accessories_rarity,mean_trait_rarity,min_trait_rarity,max_trait_rarity
0,Toucan Gang #7119,Devil,Regular,Regular,Devil Horns,,,4,0.04530252356339313,0.5440488565488566,0.4744022869022869,0.023436058313341945,,,0.27179743133196965,0.023436058313341945,0.5440488565488566
0,Toucan Gang #2248,,Parakeet,Regular,Cowboy,Mummy,,4,,0.04677754677754678,0.4744022869022869,0.028418527403579995,0.01995408793925481,,0.1423881122556671,0.01995408793925481,0.4744022869022869
0,Toucan Gang #9349,Robin,Chameleon,Regular,Pirate,,,4,0.06688963210702341,0.036642411642411644,0.4744022869022869,0.01900719689979701,,,0.14923538188787974,0.01900719689979701,0.4744022869022869
0,Toucan Gang #3131,Laser,White,Gold,Flower,,,4,0.07236242018850715,0.03755197505197505,0.031185031185031187,0.026942240265731686,,,0.04201041667281127,0.026942240265731686,0.07236242018850715
0,Toucan Gang #9123,Sleepy,Regular,Parakeet,Peter Toupan,Scarf,,5,0.11705685618729098,0.5440488565488566,0.0498960498960499,0.028972135080273114,0.029136500088292425,,0.1538220795601526,0.028972135080273114,0.5440488565488566
0,Toucan Gang #834,,Regular,Regular,,Vader,,3,,0.5440488565488566,0.4744022869022869,,0.0028253575843192654,,0.34042550034515434,0.0028253575843192654,0.5440488565488566
0,Toucan Gang #381,,Regular,Regular,Gladiator,Blue Jersey,,4,,0.5440488565488566,0.4744022869022869,0.02251337885218675,0.02754723644711284,,0.2671279396876108,0.02251337885218675,0.5440488565488566
0,Toucan Gang #851,,Regular,Cockatiel,Purple Headband,Blue Tank Top,,4,,0.5440488565488566,0.04196985446985447,0.028233991511348956,0.0280769909941727,,0.1605824233810582,0.0280769909941727,0.5440488565488566
0,Toucan Gang #209,,White,Regular,,,,2,,0.03755197505197505,0.4744022869022869,,,,0.255977130977131,0.03755197505197505,0.4744022869022869
0,Toucan Gang #3262,,White,Regular,Halo,,Mummy,4,,0.03755197505197505,0.4744022869022869,0.021406163498800517,,0.5178197064989518,0.26279503298800355,0.021406163498800517,0.5178197064989518
0,Toucan Gang #826,,Red Macaw,Regular,Doctor,Purple Jersey,,4,,0.048466735966735966,0.4744022869022869,0.02601956080457649,0.028783330390252517,,0.14441797851596297,0.02601956080457649,0.4744022869022869
0,Toucan Gang #5559,,Regular,Red Macaw,,White Tank Top,,3,,0.5440488565488566,0.05275467775467776,,0.024898463711813527,,0.2072339993384493,0.024898463711813527,0.5440488565488566
0,Toucan Gang #3295,,Regular,Gold,Cop,Pirate,,4,,0.5440488565488566,0.031185031185031187,0.02768038383465584,0.02754723644711284,,0.15761537700391415,0.02754723644711284,0.5440488565488566
0,Toucan Gang #8999,Laser,Regular,Albino,Detective,,,4,0.07236242018850715,0.5440488565488566,0.05197505197505198,0.028972135080273114,,,0.17433961594817218,0.028972135080273114,0.5440488565488566
